tbl,id,country,state_province,county,latitude,longitude
vfoi,35662,Brazil,Sao Paulo,Pedregulho,9999,9999
vfoi,871336,Brazil,Mato Grosso,NA,9999,9999
vfoi,910872,Brazil,Minas Gerais,Itacambira,9999,9999
vfoi,919821,Brazil,Mato Grosso,NA,9999,9999
vfoi,938730,Brazil,Mato Grosso,NA,9999,9999
vfoi,1091405,Brazil,Mato Grosso,NA,9999,9999
vfoi,1172731,Brazil,Mato Grosso,NA,9999,9999
vfoi,1466664,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,1644822,Brazil,Mato Grosso,NA,9999,9999
vfoi,1729826,Brazil,Mato Grosso,NA,9999,9999
vfoi,1737884,Brazil,Para,NA,9999,9999
vfoi,1884176,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,1886692,Brazil,Mato Grosso,NA,9999,9999
vfoi,1895271,Brazil,Espirito Santo,Afonso Claudio,9999,9999
vfoi,2034581,Brazil,Mato Grosso,NA,9999,9999
vfoi,2061817,Brazil,Bahia,Palmeiras,-1230,-4127
vfoi,2075397,Brazil,Mato Grosso,NA,9999,9999
vfoi,2154916,Brazil,Minas Gerais,Alto Caparao,9999,9999
vfoi,2209267,Brazil,Mato Grosso,NA,9999,9999
vfoi,2373784,Brazil,Mato Grosso,NA,9999,9999
vfoi,2374126,Brazil,Rio Grande do Norte,Natal,-550,-3512
vfoi,2643195,Brazil,Minas Gerais,Aiuruoca,9999,9999
vfoi,2670566,Brazil,Minas Gerais,Morro Do Pilar,9999,9999
vfoi,2690492,Brazil,Mato Grosso,NA,9999,9999
vfoi,2705938,Brazil,Federal,NA,-1535,-4727
vfoi,2715694,Brazil,Mato Grosso,NA,9999,9999
vfoi,2757439,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,2839528,Brazil,Sao Paulo,NA,9999,9999
vfoi,2847124,Brazil,Bahia,Rio De Contas,-1328,-4151
vfoi,3007916,Brazil,Mato Grosso,NA,9999,9999
vfoi,3110754,Brazil,Mato Grosso,NA,9999,9999
vfoi,3148560,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,3159050,Brazil,Mato Grosso,NA,9999,9999
vfoi,3295188,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,3295749,Brazil,Mato Grosso,NA,9999,9999
vfoi,3381663,Brazil,Mato Grosso,NA,9999,9999
vfoi,3382110,Brazil,Mato Grosso,NA,9999,9999
vfoi,3419457,Brazil,Mato Grosso,NA,9999,9999
vfoi,3450029,Brazil,Sao Paulo,Sete Barras,-1.20E+11,135.498
vfoi,3506179,Brazil,Mato Grosso,NA,9999,9999
vfoi,3515610,Brazil,Mato Grosso,NA,9999,9999
vfoi,3532298,Brazil,Espirito Santo,Santa Leopoldina,9999,9999
vfoi,3623735,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,3650300,Brazil,Sao Paulo,Caraguatatuba,-446795000,-16.4437
vfoi,3682391,Brazil,Mato Grosso,NA,9999,9999
vfoi,3765396,Brazil,Mato Grosso,NA,9999,9999
vfoi,3858829,Brazil,Mato Grosso,NA,9999,9999
vfoi,3891003,Brazil,Minas Gerais,Aiuruoca,9999,9999
vfoi,3895295,Brazil,Mato Grosso,NA,9999,9999
vfoi,3928759,Brazil,Federal,NA,9999,9999
vfoi,3961782,Brazil,Mato Grosso,NA,9999,9999
vfoi,4039142,Brazil,Mato Grosso,NA,9999,9999
vfoi,4041127,Brazil,Goias,Alto Paraiso De Goias,9999,9999
vfoi,4080946,Brazil,Sao Paulo,Pedregulho,9999,9999
vfoi,4214792,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,4260978,Brazil,Mato Grosso,NA,9999,9999
vfoi,4543499,Brazil,Mato Grosso,NA,9999,9999
vfoi,4652531,Brazil,Mato Grosso,NA,9999,9999
vfoi,4712799,Brazil,Mato Grosso,NA,9999,9999
vfoi,4822483,Brazil,Mato Grosso,NA,9999,9999
vfoi,4845234,Brazil,Mato Grosso,NA,9999,9999
vfoi,4861265,Brazil,Mato Grosso,NA,9999,9999
vfoi,4899097,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,4906400,Brazil,Mato Grosso,NA,9999,9999
vfoi,4932117,Brazil,Mato Grosso,NA,9999,9999
vfoi,4996665,Brazil,Mato Grosso,NA,9999,9999
vfoi,5087494,Brazil,Mato Grosso,NA,9999,9999
vfoi,5128504,Brazil,Espirito Santo,Sao Roque Do Canaa,9999,9999
vfoi,5144663,Brazil,Goias,Alto Paraiso De Goias,9999,9999
vfoi,5150928,Brazil,Mato Grosso,NA,9999,9999
vfoi,5158728,Brazil,Rio Grande do Sul,Sao Jose Dos Ausentes,9999,9999
vfoi,5166350,Brazil,Mato Grosso,NA,9999,9999
vfoi,5211930,Canada,British Columbia,NA,58.8666667,-1221
vfoi,5273897,Brazil,Mato Grosso,NA,9999,9999
vfoi,5283645,Brazil,Mato Grosso,NA,9999,9999
vfoi,5322771,Brazil,Mato Grosso,NA,9999,9999
vfoi,5337633,Brazil,Mato Grosso,NA,9999,9999
vfoi,5392969,Brazil,Mato Grosso,NA,9999,9999
vfoi,5423301,Brazil,Sao Paulo,Santo Andre,-1922250000,-58.7673
vfoi,5578097,Brazil,Mato Grosso,NA,9999,9999
vfoi,5634247,Brazil,Mato Grosso,NA,9999,9999
vfoi,5653285,Brazil,Rio Grande do Norte,Natal,548,3513
vfoi,5786215,Brazil,Mato Grosso,NA,9999,9999
vfoi,5836990,Brazil,Mato Grosso,NA,9999,9999
vfoi,5989570,Brazil,Mato Grosso,NA,9999,9999
vfoi,5999023,Brazil,Minas Gerais,Alagoa,9999,9999
vfoi,6019705,Brazil,Sao Paulo,Pedregulho,9999,9999
vfoi,6097144,Brazil,Mato Grosso,NA,9999,9999
vfoi,6111969,Brazil,Mato Grosso,NA,9999,9999
vfoi,6211664,Brazil,Parana,NA,9999,9999
vfoi,6236338,Brazil,Mato Grosso,NA,9999,9999
vfoi,6336812,Brazil,Bahia,Ibiquera,-1233,-4058
vfoi,6351143,Brazil,Mato Grosso,NA,9999,9999
vfoi,6358808,Brazil,Mato Grosso,NA,9999,9999
vfoi,6408815,Brazil,Mato Grosso,NA,9999,9999
vfoi,6474203,Brazil,Mato Grosso,NA,9999,9999
vfoi,6483691,Brazil,Rondonia,Porto Velho,-850.268611,-6356.40139
vfoi,6566813,Brazil,Mato Grosso,NA,9999,9999
vfoi,6721610,Brazil,Mato Grosso,NA,9999,9999
vfoi,6773779,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,6790018,Brazil,Mato Grosso,NA,9999,9999
vfoi,6832188,Brazil,Mato Grosso,NA,9999,9999
vfoi,6891927,Brazil,Rio de Janeiro,Sao Fidelis,22.4741667,760.4675
vfoi,6961259,Brazil,Minas Gerais,Itamarandiba,9999,9999
